track,artist,year,uri,mode,key_signature,key_integer,time_signature,bpm
I Knew You Were Waiting (For Me),George Michael,1986,spotify:track:58lTbZKr7XkkR4zEpoLhYH,1,4,4,4,107.775
I'm Gonna Be (500 Miles),The Proclaimers,2003,spotify:track:66S14BkJDxgkYxLl5DCqOz,1,4,4,4,131.922
You Got It,Roy Orbison,1989,spotify:track:6r20M5DWYdIoCDmDViBxuz,1,9,3,4,114.688
Come On Eileen,Dexys Midnight Runners,2009,spotify:track:3xKsPtA5XG91Zlh0SyycmM,1,0,0,4,107.08
Free Fallin',Tom Petty,1989,spotify:track:7woZGXjtaYwuvSoU1zToB3,1,5,-1,4,84.382
Drive,The Cars,1984,spotify:track:2lFFiNm0XtgJ6wkdncTB4k,1,6,6,4,83.495
If You Don't Know Me by Now - 2008 Remaster,Simply Red,1989,spotify:track:7DFawVSjI88xR9mjnWwURg,1,10,-2,3,94.173
Livin' On A Prayer,Bon Jovi,1986,spotify:track:37ZJ0p5Jm13JPevGcx4SkF,1,0,0,4,122.511
Need You Tonight,INXS,2011,spotify:track:1sR4aKaHpLrc9u7g4ii90U,0,10,-5,4,108.701
Listen to Your Heart,Roxette,1988,spotify:track:78TnMTAFmWUWWCgNXR7D3K,0,1,4,4,86.063
Sledgehammer,Peter Gabriel,1986,spotify:track:029NqmIySn1kOY305AAhxT,1,1,-5,4,96.458
Easy Lover,Philip Bailey,1985,spotify:track:7INi4pMPG4IE0Smx5y4KVf,1,1,-5,4,128.904
We Built This City,Starship,1985,spotify:track:7aHRctaQ7vjxVTVmY8OhAA,1,5,-1,4,144.091
What's Love Got to Do with It,Tina Turner,1993,spotify:track:4kOfxxnW1ukZdsNbCKY9br,1,1,-5,4,97.84
Rosanna,TOTO,2018,spotify:track:65vEK65KeqeH11s3Ym8BWO,0,7,-2,4,82.314
Valerie,Steve Winwood,1982,spotify:track:3nQuDlaVZApyrG6tdsETe0,1,9,3,4,116.289
Ebony & Ivory,Paul McCartney,1999,spotify:track:6lUXKiuZ4n7fgLJU8wJtBf,1,4,4,4,80.709
You Make My Dreams,Daryl Hall & John Oates,1980,spotify:track:4o6BgsqLIBViaGVbx5rbRk,1,5,-1,4,167.058
Only You,Yazoo,1982,spotify:track:15Mh8m2BGTUptR8yy7fNAS,1,9,3,4,106.158
Total Eclipse of the Heart,Bonnie Tyler,1999,spotify:track:5prTs2HAw2G4idHZyeFp8o,1,8,-4,4,130.276
Our House,Madness,2009,spotify:track:0BTsVL5VMdq5zGNRSTHozJ,1,0,0,4,121.35
The Lady In Red,Chris de Burgh,1986,spotify:track:5tawGZuoaKGinhLIn9U5X4,1,10,-2,4,76.698
New Sensation,INXS,1987,spotify:track:2xcrseImDFEf8Urommws03,1,9,3,4,115.473
Higher Love - Single Version,Steve Winwood,2007,spotify:track:17Ng10tIgnYmAitl0SgT3R,1,5,-1,4,98.742
Jump - 2015 Remaster,Van Halen,1984,spotify:track:7N3PAbqfTjSEU1edb2tY8j,1,0,0,4,129.994
Black Velvet,Alannah Myles,1989,spotify:track:1KU5EHSz04JhGg3rReGJ0N,1,8,-4,4,91.147
I Got You Babe,UB40,1985,spotify:track:07itbZUgkAmBi4CEH5NniJ,1,5,-1,4,173.818
Woman,John Lennon,2008,spotify:track:4eug5z9kaJbQ65C7IteNFF,1,3,-3,4,159.758
(I Just) Died In Your Arms,Cutting Crew,1993,spotify:track:0YPXkQthLWrhNGoKTbwCJ8,0,11,2,4,124.919
Why Can't This Be Love,Van Halen,1986,spotify:track:0TaT50ZZxT4ytZxuqkE3A9,1,0,0,4,88.236
Love Shack,The B-52's,1989,spotify:track:4W4wYHtsrgDiivRASVOINL,0,5,-4,4,133.858
Alone,Heart,1987,spotify:track:54b8qPFqYqIndfdxiLApea,1,1,-5,4,175.088
Eternal Flame,The Bangles,2004,spotify:track:5MoDQWMDMaAGDEiWsJfeCi,0,4,1,3,78.988
"That's What Friends Are For (with Elton John, Gladys Knight & Stevie Wonder)",Dionne Warwick,2014,spotify:track:1cx2NcSnJYdr3kvHWmX7fF,0,0,-3,4,120.233
Kiss,Prince,1986,spotify:track:62LJFaYihsdVrrkgUOJC05,1,7,1,4,111.485
"Get Outta My Dreams, Get Into My Car",Billy Ocean,2010,spotify:track:2D4D3hiOf5U0W6SvJoCQph,1,4,4,4,117.141
Break My Stride,Matthew Wilder,2001,spotify:track:2ZqT3GcisHUBsEaqhLGHwU,1,10,-2,4,110.131
Material Girl,Madonna,2009,spotify:track:22sLuJYcvZOSoLLRYev1s5,1,0,0,4,136.506
End Of The Line,Traveling Wilburys,1988,spotify:track:4HA2jo7wkMdN1lmLO6ryzE,1,2,2,4,167.026
Jump (For My Love),The Pointer Sisters,1989,spotify:track:4k0bXm9Q4RaTuYi09i4lKK,0,10,-5,4,134.395
I Can Dream About You,Dan Hartman,1984,spotify:track:2TSVJz7sJIUInkzWVJIsCf,1,9,3,4,112.987
