track,artist,year,uri,mode,key_signature,key_integer,time_signature,bpm
Killing Me Softly with His Song,Roberta Flack,1973,spotify:track:3gsCAGsWr6pUm1Vy7CPPob,0,5,-4,4,121.568
Landslide,Fleetwood Mac,1975,spotify:track:5ihS6UUlyQAfmp48eSkxuQ,0,7,-2,4,159.375
(They Long To Be) Close To You,Carpenters,1970,spotify:track:2kyVQg00pphEufGT59M2XH,1,8,-4,4,89.044
Reelin' In The Years,Steely Dan,1972,spotify:track:1I7zHEdDx8Ny5RxzYPqsU2,1,2,2,4,135.347
Ain't No Sunshine,Bill Withers,1971,spotify:track:1k1Bqnv2R0uJXQN4u6LKYt,0,4,1,4,79.593
The Rose,Bette Midler,1979,spotify:track:562JrM9b7jiu8LgzV62x3o,1,0,0,4,133.574
Knockin' On Heaven's Door - Remastered,Bob Dylan,1973,spotify:track:6HSXNV0b4M4cLJ7ljgVVeh,1,7,1,4,140.208
Father And Son,Yusuf / Cat Stevens,1970,spotify:track:19slC7k8bsPOAKDjHYLU2W,1,7,1,4,135.993
Three Times A Lady,Commodores,1985,spotify:track:4ztwMHfPZhPoruZdBbgriM,1,8,-4,3,150.503
More Than a Feeling,Boston,1976,spotify:track:1QEEqeFIZktqIpPI4jSVSF,1,7,1,4,108.736
Love Will Keep Us Together,Captain & Tennille,1977,spotify:track:1f4iVGDitHYMVBaoc9GXO2,1,4,4,4,129.733
Right Down the Line,Gerry Rafferty,1978,spotify:track:2Xb6wJYGi0QXwURw5WWvI5,1,0,0,4,128.226
Waterloo,ABBA,1974,spotify:track:3Dy4REq8O09IlgiwuHQ3sk,1,2,2,4,147.604
Brown Sugar - Remastered,The Rolling Stones,1971,spotify:track:61UuPxxYUvacEH6SHIK3sU,1,0,0,4,128.606
Love Really Hurts Without You,Billy Ocean,2016,spotify:track:0nlVsRpZgsOZi0BFfzHSL9,1,5,-1,4,140.989
I Wish,Stevie Wonder,1976,spotify:track:74MfBIVOVHzQiJqfJ1dgTo,0,10,-5,4,105.857
Dancing In The Moonlight,King Harvest,1973,spotify:track:55GxhCTq6SY3tFTVh7z1nR,1,10,-2,4,136.153
Dancing Queen,ABBA,2008,spotify:track:2ATDkfqprlNNe9mYWodgdc,1,9,3,4,100.542
Walk On the Wild Side,Lou Reed,1972,spotify:track:5p3JunprHCxClJjOmcLV8G,1,0,0,4,104.522
The Way We Were,Barbra Streisand,1974,spotify:track:1vZTgn4JXWMahR8r99ug5H,1,9,3,3,138.108
Are You Ready For Love? - Remastered,Elton John,2017,spotify:track:3D15FZXmjfna7aFfKmEajd,1,2,2,4,116.532
Let's Stay Together,Al Green,1972,spotify:track:63xdwScd1Ai1GigAwQxE8y,0,7,-2,4,101.985
SOS,ABBA,1975,spotify:track:6yZv0Nl6BXABbXoPVpfF5y,1,5,-1,4,125.056
I Saw the Light - 2015 Remaster,Todd Rundgren,1972,spotify:track:5uRkew0DtfAQmv0oEYNwFF,0,0,-3,4,120.418
Ain't No Mountain High Enough,Diana Ross,2017,spotify:track:1KbuhBnzMHp4eq1q6flhWd,1,8,-4,4,98.757
Always On My Mind,Elvis Presley,1973,spotify:track:1B5Tp2Ml9nLlmTSJx8xVfI,1,7,1,4,181.183
Afternoon Delight,Starland Vocal Band,2004,spotify:track:3TQOqBFEKUEab8CO1pi5A8,1,5,-1,4,147.062
Roxanne - Remastered 2003,The Police,1978,spotify:track:3FmAUR4SPWa3P1KyDf21Fu,1,0,0,4,134.001
Son of a Preacher Man,Aretha Franklin,1970,spotify:track:4uCbetXW9LStYPUjCpBVp9,1,2,2,4,77.583
Summer Breeze,Seals and Crofts,1972,spotify:track:01UYpHuzHi4eB9PAbDoPY2,1,5,-1,4,88.718
Sultans Of Swing,Dire Straits,1978,spotify:track:37Tmv4NnfQeb0ZgUC4fOJj,1,5,-1,4,148.212
I Shot The Sheriff,Eric Clapton,1974,spotify:track:0UOxp1BpnD8uPQMKU4wKjz,0,7,-2,4,94.395
Your Smiling Face,James Taylor,2013,spotify:track:0z1MCtPlHy0x1g0XojaduR,1,1,-5,4,88.934
Beast Of Burden - Remastered,The Rolling Stones,1978,spotify:track:77oU2rjC5XbjQfNe3bD6so,0,1,4,4,100.626
"Evergreen (Love Theme from, ""A Star Is Born"")",Barbra Streisand,1976,spotify:track:2IcqY68BxP1ONPi3ME6aje,1,9,3,4,114.224
A Horse with No Name,America,1972,spotify:track:54eZmuggBFJbV7k248bTTt,0,11,2,4,123.179
I Will Always Love You,Dolly Parton,1974,spotify:track:77bNe6jYY8yHdP7orXrz5I,1,9,3,4,135.724
Sweet Home Alabama,Lynyrd Skynyrd,1974,spotify:track:7e89621JPkKaeDSTQ3avtg,1,7,1,4,97.798
Lovely Day,Bill Withers,1977,spotify:track:0bRXwKfigvpKZUurwqAlEh,1,9,3,4,97.918
