track,artist,year,uri,mode,key_signature,key_integer,time_signature,bpm
I Can See Clearly Now,Johnny Nash,1996,spotify:track:30SCXVFyQGOFMdKnbgJS18,1,2,2,4,124.227
For Once In My Life,Stevie Wonder,1968,spotify:track:2yNWwardt8VzlpNBWrGYD6,1,6,6,4,109.046
Don't Worry Baby - Remastered 2001,The Beach Boys,1964,spotify:track:1GLmaPfulP0BrfijohQpN5,1,4,4,4,121.242
"Mrs. Robinson - From ""The Graduate"" Soundtrack",Simon & Garfunkel,1968,spotify:track:0iOZM63lendWRTTeKhZBSC,0,6,3,4,92.033
"Everybody's Talkin' - From ""Midnight Cowboy""",Harry Nilsson,1968,spotify:track:1Yp16rwCxTScYhK5ThYUZR,1,4,4,4,124.103
I Say a Little Prayer,Aretha Franklin,2017,spotify:track:0FD8KMG4pHp0O9clTpChjp,1,9,3,4,133.03
"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops,2005,spotify:track:6DfAdJWkHIRUiYsuYoAfim,1,0,0,4,127.004
"Monday, Monday - Single Version",The Mamas & The Papas,1966,spotify:track:46PzYzseHf3mSdkTMd8sgC,1,1,-5,4,110.553
Son of a Preacher Man,Dusty Springfield,2017,spotify:track:3SMQvRU807fzOwZGagys3n,1,4,4,4,181.624
Turn! Turn! Turn! (To Everything There Is a Season),The Byrds,1965,spotify:track:5qBqBdfTEIWJwAS0Jm2F5R,1,2,2,4,124.474
In My Life - Remastered 2009,The Beatles,1965,spotify:track:3KfbEIOC7YIv90FIfNSZpo,1,9,3,4,103.239
Wouldn't It Be Nice - Remastered,The Beach Boys,1966,spotify:track:2CQRYn5cTD2B9a1ONjhTN2,1,5,-1,4,124.318
Leaving on a Jet Plane,"Peter, Paul and Mary",1967,spotify:track:6ZSTinOwx5dKFYc6iYyGDn,1,9,3,4,133.45
"Moon River (From ""Breakfast at Tiffany's"")",Andy Williams,1962,spotify:track:24AIahNHzBxm9S12peXbnG,1,6,6,3,95.555
Be My Baby,The Ronettes,2011,spotify:track:2G2YzndIA6jeWFPBXhUjh5,1,4,4,4,129.657
Here Comes The Sun - Remastered,The Beatles,1969,spotify:track:45yEy5WJywhJ3sDI28ajTm,1,9,3,4,129.171
Gloria (feat. Van Morrison) - Stereo Version,Them,2015,spotify:track:1DKyFVzIh1oa1fFnEmTkIl,1,9,3,4,129.118
What A Wonderful World,Louis Armstrong,2010,spotify:track:6Z5XZ8fjmWGbkdahOgreVe,1,5,-1,4,77.591
A Whiter Shade Of Pale,Procol Harum,1967,spotify:track:3qitymULqEibr7yknRMKU4,1,0,0,4,149.813
Burning Love,Elvis Presley,1973,spotify:track:7zMUCLm1TN9o9JlLISztxO,1,2,2,4,143.549
Mr. Tambourine Man,The Byrds,1965,spotify:track:2HCaIYjkvWSZzaSKUoOh3d,1,2,2,4,120.336
The Boxer,Simon & Garfunkel,1970,spotify:track:76TZCvJ8GitQ2FA1q5dKu0,1,11,5,4,93.017
Under the Boardwalk,The Drifters,1964,spotify:track:65jrjEhWfAvysKfnojk1i0,1,7,1,4,123.789
Massachusetts (2008 Remastered LP Version),Bee Gees,1969,spotify:track:1mBPlknQe00PCd7R9g34ix,1,7,1,4,102.073
American Pie,Don McLean,1988,spotify:track:2QgWuCtBpNIpl5trmKCxRf,1,7,1,4,138.317
Only the Lonely (Know the Way I Feel),Roy Orbison,2016,spotify:track:2YDfRJp5Hth6K2pHXdHNZt,1,5,-1,4,123.276
Where Did Our Love Go - Stereo Version,The Supremes,1964,spotify:track:6yz8hKpO3s2byra8Et3w9x,1,0,0,4,134.676
This Guy's In Love With You,Herb Alpert & The Tijuana Brass,1968,spotify:track:7a3g7jILDCvADVN9NQIyYj,1,1,-5,4,83.768
Both Sides Now,Joni Mitchell,1969,spotify:track:3NW1YMA8kfNVTzGJCGBS8m,1,6,6,4,97.235
A Place In The Sun,Stevie Wonder,1966,spotify:track:0tURbnatc9qCxlYpXuPK8I,1,1,-5,4,117.784
Save the Last Dance for Me,The Drifters,2005,spotify:track:391TUcoPonqYykPkSZ5Z9U,1,4,4,4,143.453
You Can't Hurry Love,The Supremes,2001,spotify:track:2mTjtdoxpffwa5rXVyZZaS,1,10,-2,4,194.95
(Your Love Keeps Lifting Me) Higher & Higher,Jackie Wilson,2006,spotify:track:4TBBPZks71c60whhq0PgdP,1,2,2,4,94.574
I Heard It Through The Grapevine,Marvin Gaye,1968,spotify:track:1tqT6DhmsrtQgyCKUwotiw,0,3,6,4,117.267
My Girl,The Temptations,1965,spotify:track:6jWkZvd1URGktyTTwcpPpB,1,0,0,4,104.564
"Reach Out, I'll Be There",Four Tops,2005,spotify:track:3zA42VIIrkVc2OkgUENTa5,0,3,6,4,119.569
Waterloo Sunset - Stereo Mix,The Kinks,1967,spotify:track:6i6vTovzDTGf6AQp96YwZK,0,1,4,4,107.958
Downtown,Petula Clark,2006,spotify:track:0hgWgToJgb7O1tT12YWRCz,1,4,4,4,118.515
Everlasting Love,Love Affair,2012,spotify:track:2Rp4qTPWa91ctCSq0pu3zv,1,4,4,4,120.52
Unchained Melody,The Righteous Brothers,1990,spotify:track:1jFhnVoJkcB4lf9tT0rSZS,1,0,0,3,98.532
To Sir with Love,Lulu,1967,spotify:track:0gBFr7N2D1GfhkXIIepIGG,1,4,4,4,97.142
Me and Bobby McGee,Janis Joplin,1971,spotify:track:1IqFh00G2kvvMm8pRMpehA,1,2,2,4,93.19
My Way,Frank Sinatra,2015,spotify:track:40tAOP3DPqmVD6L1h45Jp6,1,2,2,4,150.661
Wichita Lineman - Remastered 2001,Glen Campbell,1968,spotify:track:6V9VCm1zOY2lGR80RehJ9i,1,5,-1,4,172.312
"Yester-Me, Yester-You, Yesterday",Stevie Wonder,1969,spotify:track:0l9RGwc48deJ6j61KXAAvs,1,6,6,4,100.721
"Lay, Lady, Lay",Bob Dylan,1969,spotify:track:4uYwlMp841PLJmj1gJJwIq,0,11,2,4,155.746
Different Drum,Stone Poneys,1967,spotify:track:3k63RLvRgkgPGx0keOH3P6,1,0,0,4,123.213
Proud Mary,Creedence Clearwater Revival,1969,spotify:track:6mv76kovZyVB0UHbqUsee0,1,2,2,4,120.745
Ain't No Mountain High Enough,Marvin Gaye,1967,spotify:track:2H3ZUSE54pST4ubRd5FzFR,0,11,2,4,130.037
Gimme Some Lovin' - Single Mix,The Spencer Davis Group,1991,spotify:track:0g6UcrVsACnRJyTGX6uSHu,1,7,1,4,147.403
Stranger On The Shore,Acker Bilk,2011,spotify:track:6EwVwaoy9j9mfKAvksVwC8,1,3,-3,4,71.278
The Weight - Remastered,The Band,1968,spotify:track:0sDqo9UPzPUtu9wEkI3zRB,1,9,3,4,143.942
Will You Love Me Tomorrow,The Shirelles,1961,spotify:track:7oYTK1C0Clz6MZiETSpFTS,1,0,0,4,135.923
Where Do You Go To (My Lovely),Peter Sarstedt,2016,spotify:track:2AvMA7gOOhQpDDUjBs89ap,1,0,0,3,175.024
What the World Needs Now Is Love,Dionne Warwick,2016,spotify:track:4GipxMgLhzh1cFW5U1HH6t,0,11,2,3,112.094
Albatross - 2018 Remaster,Fleetwood Mac,1969,spotify:track:3IKyTBHZSgCx2v1ZX8v0TZ,0,6,3,4,135.605
Cupid - Remastered,Sam Cooke,2010,spotify:track:5Iev69m1Jnf7oc79VvPjpd,1,7,1,4,120.471
The First Time Ever I Saw Your Face,Roberta Flack,1969,spotify:track:0SxFyA4FqmEQqZVuAlg8lf,1,0,0,4,120.653
Everybody Loves Somebody,Dean Martin,2014,spotify:track:0Wd52AHQrrwwDbqVQF2dt6,1,3,-3,3,119.199
In Dreams,Roy Orbison,1963,spotify:track:5YsyqcewwE0c1ukzHVciS3,1,0,0,4,108.189
This Old Heart Of Mine (Is Weak For You),The Isley Brothers,1966,spotify:track:455HSLQfOn9vxG6UjzoTWw,1,5,-1,4,130.287
What Becomes Of The Brokenhearted,Jimmy Ruffin,1989,spotify:track:7Bvap2GAW2DAyZ7EVUJpMO,0,7,-2,4,98.623
In the Midnight Hour,Wilson Pickett,1966,spotify:track:4Px3eyuChcQdX1GXytgxF2,1,4,4,4,111.919
Sukiyaki,Kyu Sakamoto,2010,spotify:track:6meIeOX3DHdaCnaNw67abE,1,7,1,4,146.029
Honky Tonk Women - Mono Version,The Rolling Stones,1971,spotify:track:3RZMzCvYsmJ0u2ioKTOsmJ,1,7,1,4,119.602
It's Now or Never,Elvis Presley,2018,spotify:track:2JBz3M7PTOPoJuompDiFlI,1,4,4,4,126.194
Itchycoo Park,Small Faces,1999,spotify:track:0fYgtNCNCjFDeJWTIMukNU,1,9,3,4,128.168
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,1968,spotify:track:5K09WxKdlkroDyEVyOSySy,1,0,0,3,110.962
Dancing In The Street - Single Version,Martha Reeves & The Vandellas,1998,spotify:track:32k7kVzz4SpmI7Q5xI856l,0,11,2,4,126.203
Baby Love,The Supremes,1964,spotify:track:5uES1C2NgkdrNHiCwf9jRr,1,5,-1,4,135.633
Can't Take My Eyes Off You,Frankie Valli,2017,spotify:track:13jJu9zoXOQnqiLaJsg41K,1,4,4,4,123.711
Do You Believe in Magic?,The Lovin' Spoonful,1965,spotify:track:1udKn1oNKYQSQ9OmiIWCMu,1,0,0,4,138.591
When a Man Loves a Woman,Percy Sledge,2018,spotify:track:0GVxSbigOiKlGfI30Uw00X,1,1,-5,3,96.903
San Francisco (Be Sure to Wear Flowers in Your Hair) - Single Version,Scott McKenzie,1967,spotify:track:6vcNJUWtUPB0hKC6VbZriY,1,7,1,4,112.554
"So Long, Marianne",Leonard Cohen,1967,spotify:track:14CsqOaDkOkrZ49UJLtuOJ,1,9,3,3,94.872
Light My Fire,José Feliciano,2011,spotify:track:2wWdwNwfYiI7bSCGYtq0Un,0,4,1,4,108.372
A World Without Love,Peter And Gordon,2017,spotify:track:4NNK7IAziJkwbXEFXCAkQv,0,1,4,4,129.861
The Sun Ain't Gonna Shine Anymore - Stereo Version,The Walker Brothers,2003,spotify:track:0qxzwtsPnEnslv0YhGLWc3,1,2,2,4,110.677
Sugar Sugar,The Archies,2011,spotify:track:2niam1u5gMXIKbEsqgGQoW,1,2,2,4,122.322
Cathy's Clown,The Everly Brothers,1993,spotify:track:3VpET40k33lJhKY650zLXP,1,7,1,4,119.809
Then He Kissed Me,The Crystals,2011,spotify:track:5usNPz6U1acDrkUYekGYDY,1,4,4,4,135.917
